scenario_id,mission_title,research_domain,topic_cluster,difficulty,sme_owner,timeframe_start,timeframe_end,allowed_domains,focus_semantics,output_type,audience,question,expected_answer
generative_3d_world_models_001,Generative 3D World Models — Navigable multi-room world generation (executive memo),Generative 3D World Models,generative_3d_world_models,medium,Spatial AI Lead,2026-01-01,2026-03-31,"arxiv.org, blogs.nvidia.com, technologyreview.com",navigable multi-room world generation,executive memo,innovation lead,"Prepare executive memo for the innovation lead on navigable multi-room world generation within Generative 3D World Models. Use only arxiv.org, blogs.nvidia.com, technologyreview.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should stay inside the requested topic and time window, use only the allowed domains, privilege mission-native sources over generic AI summaries, cite the major claims, and separate mature solutions from early research with clear takeaways for the innovation lead."
synthetic_tabular_data_001,Synthetic Tabular Data — Privacy-utility tradeoffs in synthetic tables (executive memo),Synthetic Tabular Data,synthetic_tabular_data,medium,Data Science Lead,2026-01-01,2026-03-31,"arxiv.org, openreview.net, github.com",privacy-utility tradeoffs in synthetic tables,executive memo,innovation lead,"Prepare executive memo for the innovation lead on privacy-utility tradeoffs in synthetic tables within Synthetic Tabular Data. Use only arxiv.org, openreview.net, github.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should stay inside the requested topic and time window, use only the allowed domains, privilege mission-native sources over generic AI summaries, cite the major claims, and separate mature solutions from early research with clear takeaways for the innovation lead."
spatial_semantics_scene_graphs_001,Spatial Semantics and Scene Graphs — Scene graph construction for 3D environments (executive memo),Spatial Semantics and Scene Graphs,spatial_semantics_scene_graphs,medium,Scene Intelligence Lead,2026-01-01,2026-03-31,"arxiv.org, omniverse.nvidia.com, github.com",scene graph construction for 3D environments,executive memo,innovation lead,"Prepare executive memo for the innovation lead on scene graph construction for 3D environments within Spatial Semantics and Scene Graphs. Use only arxiv.org, omniverse.nvidia.com, github.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should stay inside the requested topic and time window, use only the allowed domains, privilege mission-native sources over generic AI summaries, cite the major claims, and separate mature solutions from early research with clear takeaways for the innovation lead."
robotics_simulation_001,Robotics Simulation — Sim-to-real transfer readiness (executive memo),Robotics Simulation,robotics_simulation,medium,Robotics Evaluation Lead,2026-01-01,2026-03-31,"blogs.nvidia.com, developer.nvidia.com, arxiv.org",sim-to-real transfer readiness,executive memo,innovation lead,"Prepare executive memo for the innovation lead on sim-to-real transfer readiness within Robotics Simulation. Use only blogs.nvidia.com, developer.nvidia.com, arxiv.org. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should stay inside the requested topic and time window, use only the allowed domains, privilege mission-native sources over generic AI summaries, cite the major claims, and separate mature solutions from early research with clear takeaways for the innovation lead."
industrial_ai_scouting_001,Industrial AI Scouting — AI copilots for industrial operations (executive memo),Industrial AI Scouting,industrial_ai_scouting,medium,Industrial Innovation Lead,2026-01-01,2026-03-31,"technologyreview.com, arxiv.org, blogs.nvidia.com",AI copilots for industrial operations,executive memo,innovation lead,"Prepare executive memo for the innovation lead on AI copilots for industrial operations within Industrial AI Scouting. Use only technologyreview.com, arxiv.org, blogs.nvidia.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should stay inside the requested topic and time window, use only the allowed domains, privilege mission-native sources over generic AI summaries, cite the major claims, and separate mature solutions from early research with clear takeaways for the innovation lead."
foundation_model_benchmarking_001,Foundation Model Benchmarking — Benchmark design for model comparison (executive memo),Foundation Model Benchmarking,foundation_model_benchmarking,medium,Benchmarking Lead,2026-01-01,2026-03-31,"arxiv.org, openai.com, anthropic.com",benchmark design for model comparison,executive memo,innovation lead,"Prepare executive memo for the innovation lead on benchmark design for model comparison within Foundation Model Benchmarking. Use only arxiv.org, openai.com, anthropic.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should stay inside the requested topic and time window, use only the allowed domains, privilege mission-native sources over generic AI summaries, cite the major claims, and separate mature solutions from early research with clear takeaways for the innovation lead."
enterprise_agent_tooling_001,Enterprise Agent Tooling — Traceability for tool-enabled agents (executive memo),Enterprise Agent Tooling,enterprise_agent_tooling,medium,Agent Platform Lead,2026-01-01,2026-03-31,"langfuse.com, langchain.com, github.com",traceability for tool-enabled agents,executive memo,innovation lead,"Prepare executive memo for the innovation lead on traceability for tool-enabled agents within Enterprise Agent Tooling. Use only langfuse.com, langchain.com, github.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should stay inside the requested topic and time window, use only the allowed domains, privilege mission-native sources over generic AI summaries, cite the major claims, and separate mature solutions from early research with clear takeaways for the innovation lead."
domain_constrained_innovation_scouting_001,Domain-Constrained Innovation Scouting — AI-native product scouting workflows (executive memo),Domain-Constrained Innovation Scouting,domain_constrained_innovation_scouting,medium,Technology Intelligence Lead,2026-01-01,2026-03-31,"arxiv.org, blogs.nvidia.com, technologyreview.com",AI-native product scouting workflows,executive memo,innovation lead,"Prepare executive memo for the innovation lead on AI-native product scouting workflows within Domain-Constrained Innovation Scouting. Use only arxiv.org, blogs.nvidia.com, technologyreview.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should stay inside the requested topic and time window, use only the allowed domains, privilege mission-native sources over generic AI summaries, cite the major claims, and separate mature solutions from early research with clear takeaways for the innovation lead."
generative_3d_world_models_002,Generative 3D World Models — OpenUSD-native scene pipelines (executive memo),Generative 3D World Models,generative_3d_world_models,high,Spatial AI Lead,2026-01-01,2026-03-31,"arxiv.org, blogs.nvidia.com, technologyreview.com",OpenUSD-native scene pipelines,executive memo,R&D director,"Build executive memo focused on OpenUSD-native scene pipelines for the R&D director. Restrict the search to arxiv.org, blogs.nvidia.com, technologyreview.com and only use material published from 2026-01-01 to 2026-03-31. Prioritize sources intrinsic to Generative 3D World Models, deduplicate overlapping coverage, highlight what is production-capable versus still experimental, and end with cited sources and next-step recommendations.","The answer should synthesize the strongest domain-specific sources, deduplicate repeated reporting, respect the hard source and timeframe constraints, explain the most relevant benchmark or workflow signals, and end with a structured report plus cited sources tailored to the R&D director."
synthetic_tabular_data_002,Synthetic Tabular Data — Benchmark design for tabular data generators (executive memo),Synthetic Tabular Data,synthetic_tabular_data,high,Data Science Lead,2026-01-01,2026-03-31,"arxiv.org, openreview.net, github.com",benchmark design for tabular data generators,executive memo,R&D director,"Build executive memo focused on benchmark design for tabular data generators for the R&D director. Restrict the search to arxiv.org, openreview.net, github.com and only use material published from 2026-01-01 to 2026-03-31. Prioritize sources intrinsic to Synthetic Tabular Data, deduplicate overlapping coverage, highlight what is production-capable versus still experimental, and end with cited sources and next-step recommendations.","The answer should synthesize the strongest domain-specific sources, deduplicate repeated reporting, respect the hard source and timeframe constraints, explain the most relevant benchmark or workflow signals, and end with a structured report plus cited sources tailored to the R&D director."
